Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
DG;Deutschland;Personen;Anzahl;82719540;e
02000000000001;Hamburg-Mitte;Personen;Anzahl;280116;e
02000000000002;Altona;Personen;Anzahl;260584;e
02000000000003;Eimsbüttel;Personen;Anzahl;257406;e
02000000000004;Hamburg-Nord;Personen;Anzahl;301545;e
02000000000005;Wandsbek;Personen;Anzahl;423154;e
02000000000006;Bergedorf;Personen;Anzahl;125251;e
02000000000007;Harburg;Personen;Anzahl;160790;e
11000000000001;Mitte;Personen;Anzahl;357319;e
11000000000002;Friedrichshain-Kreuzberg;Personen;Anzahl;264033;e
11000000000003;Pankow;Personen;Anzahl;400411;e
11000000000004;Charlottenburg-Wilmersdorf;Personen;Anzahl;317012;e
11000000000005;Spandau;Personen;Anzahl;237759;e
11000000000006;Steglitz-Zehlendorf;Personen;Anzahl;295124;e
11000000000007;Tempelhof-Schöneberg;Personen;Anzahl;331288;e
11000000000008;Neukölln;Personen;Anzahl;305022;e
11000000000009;Treptow-Köpenick;Personen;Anzahl;275537;e
11000000000010;Marzahn-Hellersdorf;Personen;Anzahl;270010;e
11000000000011;Lichtenberg;Personen;Anzahl;290543;e
11000000000012;Reinickendorf;Personen;Anzahl;252941;e
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2025. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 09.12.2025 / 00:16:15
